alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
0.1,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,1.9999999999999978e-07,20000,0.43963693158202677,0.9999999962700947,0.27071381688844987,-0.02550391448766348,1.4560081459703379e-05,1.0017160547744168,82,82,82,False,0.0,51.45531319993402,48.928162546339045,0.46835307356344397,0.53125,0.0,1.0463578588403628,-1.0000283548615831,False,False,False,False,False,transition,,50.0,256,0.4,42
0.2,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,9.999999999999989e-08,20000,0.43967371011431217,0.9999999990681702,0.27071382994370125,-0.013590679695124178,3.882755310197414e-06,1.000857731376282,82,82,82,False,0.0,51.45612009412485,48.92725801630611,0.4687672299152005,0.53125,0.0,1.048048892601532,-1.0000151086456315,False,False,False,False,False,transition,,50.0,256,0.4,42
0.4,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,4.9999999999999945e-08,20000,0.4396711259181445,0.9999999997673077,0.27071383320697023,0.010276107939951684,-1.4685306520377048e-06,1.0004287712439184,82,82,82,False,0.0,51.4565238506789,48.926805166035926,0.4689746051466215,0.53125,0.0,1.0488955760459604,-0.9999885760690886,False,False,False,False,False,transition,,50.0,256,0.4,42
0.6,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,3.333333333333331e-08,20000,0.43965162087094073,0.9999999998966932,0.2707138338110951,0.03415186348083579,-3.254166215804313e-06,1.0002858143907336,82,82,82,False,0.0,51.456658482076506,48.926654129146655,0.4690437742826941,0.53125,0.0,1.0491779768667946,-0.9999620317497603,False,False,False,False,False,transition,,50.0,256,0.4,42
0.8,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,2.4999999999999972e-08,20000,0.4396278855759414,0.9999999999419524,0.27071383402248067,0.0580298614190243,-4.1473355536014465e-06,1.0002143415621025,82,82,82,False,0.0,51.45672580638065,48.926578594419205,0.46907836711608225,0.53125,0.0,1.0493192097312314,-0.999935481961163,False,False,False,False,False,transition,,50.0,256,0.4,42
1.0,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,1.999999999999998e-08,20000,0.4396024581122014,0.9999999999628896,0.2707138341202983,0.08190875715300157,-4.6833497315121794e-06,1.0001714596562,82,82,82,False,0.0,51.45676620371725,48.92653326837116,0.46909912546153715,0.53125,0.0,1.0494039598371456,-0.999908927956797,False,False,False,False,False,transition,,50.0,256,0.4,42
1.2,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,1.6666666666666654e-08,20000,0.43957618461104053,0.9999999999742555,0.2707138341734051,0.1057881005472153,-5.040739371004161e-06,1.0001428724653019,82,82,82,False,0.0,51.456793136422505,48.92650304883411,0.46911296546091563,0.53125,0.0,1.04946046423618,-0.9998823701562151,False,False,False,False,False,transition,,50.0,256,0.4,42
1.4,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,1.4285714285714274e-08,20000,0.4395494276682743,0.9999999999811064,0.2707138342054144,0.12966770240853753,-5.296040744765741e-06,1.0001224534088975,82,82,82,False,0.0,51.456812374631305,48.92648146238663,0.46912285171474255,0.53125,0.0,1.0495008266414463,-0.9998558087347136,False,False,False,False,False,transition,,50.0,256,0.4,42
1.7,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,1.1764705882352929e-08,20000,0.4395087586412406,0.999999999987207,0.27071383423390805,0.1654873803688025,-5.566380460088438e-06,1.000100833563395,82,82,82,False,0.0,51.45683274500982,48.92645860518201,0.4691333200034612,0.53125,0.0,1.049543565231743,-0.9998159600091141,False,False,False,False,False,transition,,50.0,256,0.4,42
2.0,0.2,1.0,100.0,2,uniform_noise,50.0,0.5,9.99999999999999e-09,20000,0.4394677064048555,0.9999999999907616,0.27071383425061274,0.2013072719079003,-5.755631319052229e-06,1.0000856998748842,82,82,82,False,0.0,51.45684700458755,48.92644260454736,0.46914064810577655,0.53125,0.0,1.0495734834236279,-0.9997761034754153,False,False,False,False,False,transition,,50.0,256,0.4,42
0.1,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,1.3333333333333347e-06,20000,0.4390490337687083,0.9999998340256356,0.270713061231362,-0.01037383298390376,3.9111384016362816e-05,1.0114806782396488,82,82,82,False,0.0,51.44617843970432,48.938256774988496,0.46371447980619956,0.52734375,0.0,1.027409136723718,-1.0000115489122632,False,False,False,False,False,transition,,50.0,256,0.4,42
0.2,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,6.666666666666673e-07,20000,0.43936018826950046,0.9999999586011835,0.2707136411202784,0.015931033166655704,-3.019392289633433e-05,1.0057280252651288,82,82,82,False,0.0,51.45151127746915,48.93231417374246,0.4664310818022533,0.52734375,0.0,1.0385080226953776,-0.999982276964956,False,False,False,False,False,transition,,50.0,256,0.4,42
0.4,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,3.3333333333333367e-07,20000,0.4394750894625865,0.9999999896805748,0.2707137860595806,0.06880806486431916,-6.539526186409721e-05,1.0028606720242534,82,82,82,False,0.0,51.45419132967832,48.929317197843204,0.4678024055837317,0.53125,0.0,1.0441086688562298,-0.9999234720751694,False,False,False,False,False,transition,,50.0,256,0.4,42
0.6,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,2.2222222222222248e-07,20000,0.43947720821193986,0.9999999954253449,0.2707138128839534,0.12174485477068596,-7.721134615524202e-05,1.0019062157614096,82,82,82,False,0.0,51.455086710138104,48.92831437433222,0.46826145768270233,0.53125,0.0,1.0459831898715224,-0.9998645967417407,False,False,False,False,False,transition,,50.0,256,0.4,42
0.8,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,1.6666666666666684e-07,20000,0.4394511285337311,0.9999999974331247,0.27071382226646945,0.17469662474739162,-8.313490719553519e-05,1.0014292365550392,82,82,82,False,0.0,51.45553478178591,48.92781224180225,0.4684913495260807,0.53125,0.0,1.046921887207133,-0.9998056928480267,False,False,False,False,False,transition,,50.0,256,0.4,42
1.0,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,1.3333333333333347e-07,20000,0.4394137690496405,0.9999999983612078,0.2707138266064071,0.22765439336159593,-8.669402106838336e-05,1.0011431286740562,82,82,82,False,0.0,51.455803746936844,48.92751073133347,0.46862940184805574,0.53125,0.0,1.047485565973928,-0.9997467687897549,False,False,False,False,False,transition,,50.0,256,0.4,42
